epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0773,1.91372,2.82192,0.01816,0.47898,0.40008,0.39112,0.16428,2.0159,2.22935,0.02047,0.000664917,0.000664917,0.000664917
2,146.003,1.97948,2.18134,0.01894,0.48344,0.41948,0.4009,0.17074,2.07288,2.26548,0.0214,0.0013184,0.0013184,0.0013184
3,205.076,1.99999,2.07943,0.01927,0.51231,0.42923,0.42439,0.17944,2.1209,2.02111,0.02223,0.00195868,0.00195868,0.00195868
4,263.578,1.98778,2.02329,0.01911,0.54292,0.45653,0.46702,0.20666,2.05802,1.85108,0.02066,0.0019406,0.0019406,0.0019406
5,323.267,1.97106,1.94175,0.01889,0.55439,0.47123,0.47736,0.21245,2.06527,1.87109,0.02167,0.0019208,0.0019208,0.0019208
6,383.151,1.98107,1.94414,0.01863,0.5913,0.45915,0.49566,0.22011,2.0685,1.84537,0.0214,0.001901,0.001901,0.001901
7,442.652,1.95018,1.87008,0.01857,0.5854,0.45034,0.47357,0.21097,2.04848,1.90789,0.02127,0.0018812,0.0018812,0.0018812
8,501.072,1.92619,1.85435,0.01823,0.61019,0.49367,0.52609,0.23903,2.01537,1.75115,0.02056,0.0018614,0.0018614,0.0018614
9,559.254,1.92582,1.80624,0.01819,0.57225,0.47257,0.48942,0.2172,1.98083,1.92796,0.0199,0.0018416,0.0018416,0.0018416
10,616.843,1.9086,1.79795,0.01798,0.59654,0.47612,0.48634,0.2166,2.05332,1.84888,0.02109,0.0018218,0.0018218,0.0018218
11,674.977,1.90435,1.79793,0.01798,0.61983,0.52845,0.54966,0.25387,1.95808,1.7496,0.0197,0.001802,0.001802,0.001802
12,734.114,1.90538,1.75363,0.01771,0.63826,0.52244,0.56984,0.27725,1.93419,1.61631,0.01901,0.0017822,0.0017822,0.0017822
13,792.49,1.88857,1.72665,0.01747,0.64829,0.53381,0.58002,0.27835,1.93024,1.60416,0.01904,0.0017624,0.0017624,0.0017624
14,851.171,1.87454,1.72129,0.01745,0.63891,0.52148,0.56685,0.27435,1.96521,1.59141,0.01956,0.0017426,0.0017426,0.0017426
15,909.749,1.87181,1.71548,0.01706,0.65051,0.53619,0.5753,0.26746,1.99761,1.57214,0.02067,0.0017228,0.0017228,0.0017228
16,968.532,1.86713,1.70827,0.01734,0.64886,0.56099,0.60442,0.28878,1.94485,1.58102,0.01933,0.001703,0.001703,0.001703
17,1026.92,1.86434,1.69078,0.01701,0.66294,0.54795,0.58851,0.28036,1.95427,1.56207,0.0196,0.0016832,0.0016832,0.0016832
18,1085.37,1.85494,1.6648,0.01681,0.67406,0.55025,0.61316,0.30109,1.92381,1.51602,0.01909,0.0016634,0.0016634,0.0016634
19,1143.97,1.85957,1.69119,0.01734,0.66285,0.52858,0.58876,0.28636,1.91903,1.55874,0.01922,0.0016436,0.0016436,0.0016436
20,1202.53,1.85743,1.66321,0.01682,0.68608,0.56598,0.62777,0.31354,1.86597,1.49231,0.01811,0.0016238,0.0016238,0.0016238
21,1261.05,1.82113,1.63862,0.01664,0.69693,0.57461,0.63346,0.31285,1.88474,1.4211,0.01859,0.001604,0.001604,0.001604
22,1319.79,1.83765,1.61139,0.01679,0.67801,0.57595,0.62356,0.30741,1.922,1.43772,0.01888,0.0015842,0.0015842,0.0015842
23,1378.38,1.8367,1.62765,0.01668,0.65657,0.57115,0.61606,0.30868,1.86104,1.57182,0.0181,0.0015644,0.0015644,0.0015644
24,1436.69,1.82949,1.59979,0.01661,0.67474,0.57231,0.62938,0.31985,1.87713,1.44727,0.0184,0.0015446,0.0015446,0.0015446
25,1495.76,1.8315,1.61517,0.01652,0.69352,0.57192,0.62975,0.31676,1.88895,1.42291,0.01893,0.0015248,0.0015248,0.0015248
26,1554.46,1.81247,1.60368,0.0168,0.66792,0.56732,0.62041,0.3126,1.89291,1.49177,0.01838,0.001505,0.001505,0.001505
27,1612.84,1.79665,1.58086,0.01649,0.70028,0.57359,0.63315,0.32264,1.85721,1.48268,0.01824,0.0014852,0.0014852,0.0014852
28,1670.89,1.80314,1.57968,0.01638,0.69367,0.56329,0.62944,0.31715,1.89601,1.47069,0.01862,0.0014654,0.0014654,0.0014654
29,1729.56,1.79986,1.55172,0.01599,0.71549,0.58918,0.65596,0.33387,1.87081,1.38199,0.01838,0.0014456,0.0014456,0.0014456
30,1790.12,1.78894,1.5411,0.01594,0.71072,0.57998,0.6469,0.33365,1.84145,1.41479,0.01775,0.0014258,0.0014258,0.0014258
31,1850.25,1.79378,1.56461,0.01605,0.69466,0.56506,0.63621,0.33105,1.85534,1.42301,0.01785,0.001406,0.001406,0.001406
32,1909.58,1.77663,1.54482,0.01628,0.70313,0.58961,0.65121,0.33882,1.82998,1.38781,0.01763,0.0013862,0.0013862,0.0013862
33,1968.46,1.77771,1.53453,0.01583,0.72085,0.58554,0.65911,0.34331,1.82807,1.39038,0.01733,0.0013664,0.0013664,0.0013664
34,2028.08,1.76893,1.53637,0.01577,0.71951,0.59137,0.66041,0.34001,1.85717,1.39547,0.01776,0.0013466,0.0013466,0.0013466
35,2087.09,1.78221,1.50423,0.01606,0.72921,0.58803,0.66752,0.35193,1.80657,1.38668,0.01716,0.0013268,0.0013268,0.0013268
36,2145.94,1.7542,1.51029,0.01579,0.71063,0.61277,0.66876,0.35096,1.81814,1.32412,0.01735,0.001307,0.001307,0.001307
37,2204.32,1.76732,1.48914,0.01573,0.70687,0.60759,0.66789,0.34774,1.83521,1.32712,0.01774,0.0012872,0.0012872,0.0012872
38,2262.96,1.75589,1.49957,0.01573,0.72917,0.59302,0.67236,0.3549,1.82296,1.32082,0.01734,0.0012674,0.0012674,0.0012674
39,2320.93,1.75474,1.47927,0.0157,0.73088,0.60721,0.67516,0.35727,1.82032,1.30342,0.01737,0.0012476,0.0012476,0.0012476
40,2378.99,1.75179,1.46879,0.01575,0.71717,0.61872,0.68141,0.35982,1.81791,1.30862,0.01723,0.0012278,0.0012278,0.0012278
41,2438.84,1.74042,1.45504,0.01552,0.7183,0.61086,0.68018,0.36129,1.80531,1.33026,0.01719,0.001208,0.001208,0.001208
42,2498.62,1.74551,1.46132,0.01558,0.72433,0.62842,0.68884,0.36946,1.77533,1.31399,0.01663,0.0011882,0.0011882,0.0011882
43,2558.13,1.73086,1.43276,0.01545,0.71126,0.62006,0.67321,0.35983,1.80737,1.30973,0.01708,0.0011684,0.0011684,0.0011684
44,2617.07,1.73203,1.42776,0.01536,0.72644,0.61507,0.68491,0.36743,1.79482,1.28867,0.01689,0.0011486,0.0011486,0.0011486
45,2675.86,1.72929,1.44754,0.01535,0.73086,0.63445,0.69677,0.37314,1.77554,1.2676,0.01664,0.0011288,0.0011288,0.0011288
46,2733.8,1.72507,1.43258,0.01534,0.73368,0.60922,0.68397,0.36752,1.78026,1.28301,0.0168,0.001109,0.001109,0.001109
47,2792.42,1.72036,1.41376,0.01557,0.73301,0.63345,0.69503,0.37197,1.78252,1.25678,0.01689,0.0010892,0.0010892,0.0010892
48,2850.8,1.73231,1.42812,0.01538,0.74185,0.63713,0.70271,0.38345,1.75786,1.24449,0.01653,0.0010694,0.0010694,0.0010694
49,2908.74,1.73423,1.40962,0.0151,0.73658,0.6379,0.70026,0.38087,1.76251,1.26429,0.01652,0.0010496,0.0010496,0.0010496
50,2966.11,1.7056,1.3963,0.015,0.74247,0.62754,0.70091,0.38336,1.74986,1.25414,0.01634,0.0010298,0.0010298,0.0010298
51,3024.5,1.72067,1.42051,0.01499,0.74314,0.63886,0.70768,0.38713,1.74234,1.24197,0.01633,0.00101,0.00101,0.00101
52,3083.22,1.70543,1.38717,0.01509,0.7521,0.6331,0.71335,0.39028,1.74234,1.2437,0.01616,0.0009902,0.0009902,0.0009902
53,3142,1.70155,1.39167,0.01492,0.74296,0.63675,0.71027,0.38472,1.7641,1.23207,0.01648,0.0009704,0.0009704,0.0009704
54,3199.99,1.70117,1.38696,0.01487,0.75793,0.64373,0.71793,0.39642,1.73075,1.22395,0.01612,0.0009506,0.0009506,0.0009506
55,3257.93,1.70312,1.38781,0.01499,0.76304,0.64848,0.72447,0.39813,1.73217,1.20832,0.01604,0.0009308,0.0009308,0.0009308
56,3316.02,1.69227,1.3799,0.01486,0.73234,0.64825,0.71216,0.39115,1.73622,1.23223,0.01621,0.000911,0.000911,0.000911
57,3373.62,1.68825,1.36727,0.01453,0.74477,0.65926,0.72179,0.39743,1.73304,1.20295,0.01613,0.0008912,0.0008912,0.0008912
